fold,month,start_date,end_date,rows,positive_rows,positive_rate,threshold,pr_auc,roc_auc,precision,recall,f1,top_1_percent_capture,top_5_percent_capture,top_10_percent_capture
late_fire_season_2023,2023-09,2023-09-16,2023-09-30,65325,574,0.008786835055491772,0.0020889635356360695,0.2566009204840661,0.8001305133678267,0.017051070840197694,0.7212543554006968,0.03331455701295566,0.3693379790940767,0.5400696864111498,0.5940766550522648
late_fire_season_2023,2023-10,2023-10-01,2023-10-29,126295,1426,0.011291024981194822,0.0020889635356360695,0.2844761195957872,0.7973530650023049,0.021803460605811516,0.7440392706872371,0.042365436831177126,0.34151472650771386,0.5350631136044881,0.5953716690042076
late_fire_season_2024,2024-09,2024-09-16,2024-09-30,65325,393,0.006016073478760046,0.008296742764894042,0.37843363024132026,0.9242611452278359,0.03865073787772312,0.8396946564885496,0.07389989922741015,0.5343511450381679,0.7404580152671756,0.8244274809160306
late_fire_season_2024,2024-10,2024-10-01,2024-10-29,126295,1222,0.009675759135357695,0.008296742764894042,0.36959621358966727,0.8895837498658558,0.06029307339745659,0.7643207855973814,0.11176928139771436,0.41816693944353517,0.6546644844517185,0.7364975450081833
