split,risk_group,fraction,rows_selected,positive_rows_captured,capture_rate,precision
validation,Top 1%,0.01,2024,679,0.42200124300807956,0.33547430830039526
validation,Top 5%,0.05,10028,961,0.5972653822249845,0.09583167132030315
validation,Top 10%,0.1,20056,1077,0.6693598508390305,0.05369964100518548
test,Top 1%,0.01,1936,663,0.4105263157894737,0.3424586776859504
test,Top 5%,0.05,9592,1042,0.6452012383900929,0.10863219349457881
test,Top 10%,0.1,19184,1190,0.7368421052631579,0.06203085904920767
