fold,train_start,train_end,validation_start,validation_end,test_start,test_end,train_rows,validation_rows,test_rows,train_positives,validation_positives,test_positives,best_iteration,threshold,validation_pr_auc,validation_roc_auc,validation_precision,validation_recall,validation_f1,test_pr_auc,test_roc_auc,test_precision,test_recall,test_f1,test_top_1_percent_capture,test_top_5_percent_capture,test_top_10_percent_capture
late_fire_season_2023,2023-05-08,2023-07-31,2023-08-01,2023-09-15,2023-09-16,2023-10-29,370175,200330,191620,2344,1840,2000,197,0.0020889635356360695,0.27344332081769557,0.7824804337969058,0.01845589499627443,0.7,0.03596358965767577,0.27465022700640696,0.7980058814998419,0.020221545885772258,0.7375,0.039363774652397855,0.3495,0.5365,0.595
late_fire_season_2024,2023-05-08,2024-07-31,2024-08-01,2024-09-15,2024-09-16,2024-10-29,1136655,200330,191620,8434,1609,1615,101,0.008296742764894042,0.3753589495176098,0.8672654384265313,0.048836503878320406,0.7004350528278434,0.09130681357854654,0.36745051566613535,0.8973669798326147,0.05260310458196346,0.7826625386996904,0.09858056465450007,0.44643962848297214,0.6755417956656347,0.7578947368421053
