split,risk_group,fraction,rows_selected,positive_rows_captured,capture_rate,precision
validation,Top 1%,0.01,2024,740,0.4599129894344313,0.36561264822134387
validation,Top 5%,0.05,10028,1019,0.6333126165320074,0.10161547666533706
validation,Top 10%,0.1,20056,1143,0.7103791174642635,0.05699042680494615
test,Top 1%,0.01,1936,689,0.426625386996904,0.35588842975206614
test,Top 5%,0.05,9592,1026,0.6352941176470588,0.10696413678065055
test,Top 10%,0.1,19184,1222,0.756656346749226,0.06369891576313595
